x=-8, n=7, |dx| = 0.25
0,-4.4470609732456464453929242191783466457498205865835794639485449490e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.6842376848208215082890044768068467727002213945179848872365212361e-1,-6.4278499524279953396931869955000725225304436048983513182529403009e-1
2,-6.5978342940643330614075397510753518251379151372097374929224264864e-2,1.6968514184730294101541706860734290989072547276220696869543671572e-1
3,8.4832392205267604797249543883810115983595012751859427454535922871e-3,-2.3685647613272191012311024935942503919236392185940057021164195823e-2
4,-6.0942116485853416030245079082115289621375628881787064322377915869e-4,1.8737666423546291485973001087833450539773624878111242182376133776e-3
5,2.4166441015918548935035075949224795256524510321579342680591903560e-5,-8.3470963776870275910793202057872549284000710820342939657977645602e-5
6,-4.8701383904426087273148143559702699300774637358230239339527960451e-7,1.9477809535474935553874383213111946524455534514177686656758386609e-6
7,4.0778739536550077448539714840324657457400804047623715360195740210e-9,-1.9921283512582503557448548170480768330736509552725018278487543514e-8
8,-8.1885202774376967369455356111855683538783937867641529346651812766e-12,5.5736511271106675049553100977431529618740515316453224223269783342e-11
relative error = 1.0807601055e-34

x=-6, n=8, |dx| = 0.25
i,p_i,q_i
0,-4.4917345038049294223647424508889900927475177832135643973724167881e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.8208814659584290197282158084134374274666902955742863933976145612e-1,-6.6881410794216049169254202396867786961694974732342312224143650190e-1
2,-7.2138558583824481498812779912960741731251972603782679741844859900e-2,1.8370717675997856588735401985415298642418382401822400999842784242e-1
3,9.6494828188188207983257236167154484283735023757002214034545998874e-3,-2.6681844352534996255304326027244349707451278372446799328502742823e-2
4,-7.2111203024848800298109854941836410690989822583815043826976470224e-4,2.1963645316558186950080656075915406655819438777006957531273724685e-3
5,2.9743785568898105371601875555894810331424572763037995856503488714e-5,-1.0181231030078941923606909192996244718346561203662146179696789866e-4
6,-6.2339124992459970283413424715446830744005540753589721949631243400e-7,2.4723671307508990545945588933514495830534000064343156645419264466e-6
7,5.4274298790001037112794928728422894313788015774617418296711993843e-9,-2.6318621307785812838831497160858950723372208491101932594038015350e-8
8,-1.1327571030285990206687211634278086379100327704126530718593627138e-11,7.6671023932262208625614942085001678323805013405406718732766790970e-11
relative error = 2.1590949085e-34

x=-5.75, n=8, |dx| = 0.25
