x,f,g
0.21875,-0.8113019794757400993386039593619040747432134337664668645995208715412866478597714710889117953978740815529073365441488417476522752964974071037175125209389,-1.790084056362996753161078421166368483575750780655733323206955899779460648045790669844261277739798822632875625257145319169043734149909549324615025440165
0.234375,-0.8205495461900053204178840156632215763267959564693335378736554039932525912622539186431960656942282631761663263411541705997243961680362837285096806247439,-1.8083206787805892316041227600540873662388105302313422844640711543230370343332564414492974991518941582277930364711258922917993390000317138102495358952
0.25,-0.8298396557335984574978407574963485096317507361068584828036910935740807004055179736792756846737768573535349389249160815775370659860649715379636306749641,-1.826628120362095498734653296403224756235681126594916010492546515768847837171803476379187638692576953093633549144126728400410072638634476289906495149267
0.265625,-0.8391723205361231228039852103992851706214660270936522984227066029230456180068644005671571195033214382448581990305308212370174905414241867123126468057211,-1.845006506955032441326072819998750838891888943033687228134551028607584268797626433409448904434192195649800376365557116903048445204389923781078535626601
0.28125,-0.8485475506731392837513652320104925583185908388041876535305630087244620943359043795494663903195136313691601624167580463766762990374087820602895873635219,-1.86345596163381907234060750064933174666962564030216437354660692832305862672059195717194643407797714554170207593940580414042171469997396593891042100968
0.296875,-0.8579653538475794053310533709862745203933871260107266474817402841164520687878605016820842990873782401929520959764810026878298957648657584144712663309332,-1.88197660465677273556981114576671826020582477020619302040116057214645482094282039242696048054031732510281126780474730306784342726850364884643665396061
0.3125,-0.8674257353714758670728635309580572279991139273164574091493799441722414076974379739224501171536103201027239021118547919870150967699463095825637511282,-1.900568553423066897080388144319771689136565561908975416166748871719653933131402739484852416988005735284666865899850478995601388986457196598648238039014
0.328125,-0.8769286981480107040381665913954859550100951476209400981429102927622840790839350254673071242099978573964584876475903337519552223213943893829941127796617,-1.919231922429663510652642688937908973508092854585459025736261918384946690808240511401810560317005183714999459595016375028178268482516132983541634210517
0.34375,-0.8864742426538987885699253401382167112966455877943207394052362268773705956850743404293420438068643038334489889056867790069715536579482926266173796137419,-1.937966823228233266951563555987730650334437359759932109546875154641277098964241219117624704019472583698729761237122818231214422409361833595135498961377
0.359375,-0.8960623669221156312242599941755531260306667948872704518319140978562968986525175044408564780264001158100331352955384683146869415256692875520820393244952,-1.956773364382077359844821861591980762348039959834501547536132140474026574669767082543189060548695622445431489969016469892538257636519237987687190368099
0.375,-0.9056930665249810352157986142770606660749124298136964379173267967644014167036753958814098321654433865082396665331449325917645037433051817204305443573419,-1.975651651423064727853732885872092332089474424904045969466299767009594573102569061123925820652904482926836760419569755573137060932628959063938615233262
0.390625,-0.9153663345576098886136929600322445140815234297779511035680335779809020497926514810052829952763199206196654987606740530933968964863661030096183081834919,-1.99460178680859905395875252253531056472933797946667591766619418259721070126262184866524240457865853988689412117227394904274553735572859855200412431239
0.40625,-0.9250821616217414222117907942605813099219539475625592650508684496595143429819219033887844337724111600003752499456676619106193452579673214834455679514553,-2.01362386987863013263675765033914525028908095251864791379943487996204959957002884627664880655647604053409051982737178879874195825454040835285322981701
0.421875,-0.9348405358099582982499829072914200897106124035483958470685471307699645693144821122279925711245328312147734669727887509975351861481163104043504574166127,-2.032717996812724538829665652340783435263809359697711772439990235664927553608876195327830512111557440530546151630171313779020033801422347203579248814048
0.4375,-0.9446414426903069257690245056286385668950615093097163773669123577983988738325103957878512607472484596293953257521191148472833781388087457348646699817645,-2.051884260587210859269294836532630781396194409399550908731339022996288657443851349844148192473642861173269277004891623036392715012614642620871519109909
0.453125,-0.954484865291330422123192821354459263993506048579556166107413741776919811127603232594787762853007497215070799337253667274543992180728848751299151038888,-2.071122750932415071938015200697434167914808784240807849708212621795528870582002347183671259180383446236050147264927010212358627555706265361912057828965
0.46875,-0.9643707840875256568394981499315359652772707738551293517142031632332390792921346471425398223282007097458576091281141843111663027104763196051695392108407,-2.090433554290001984144708575727203722935369147699395213518752967999259272995804299605904886959583870769561981474605677640008089013597668168234579297344
0.484375,-0.9742991769852358233851194970568889688142910369161102360106381387170554363295557259264214913561888748976871689641832247945278072067409573771697343488989,-2.109816753770438963446554756225721662448002475644615467253905808574090052497238079178928903170348690854493064783914877577753687523655796710902207987737
0.5,-0.9842700193089899862737062407140050825791282034404668939101201408145764227465089697886293381958344845072161642797008528256898916197905191878064725356997,-2.129272429110598518144515307840839668928143274464753262840357617536561747220532070570088327797663543545472547300919618816789652998157980775696192951219
0.515625,-0.9942832837883010450950336976975828930476101542537509808984440581106975876437741969495726838448141808792980058201103888742238831630864800072320967963908,-2.148800656631516605009004148288679687881917702237266655811481123653606253911808758258083032613846287362574332226174479390609511338015115241979964160373
0.53125,-1.004338940544933543281866950645973348685767828184010364185869976941869435641578517456629000952275543619508471956274099132749233403440097470547996364404,-2.168401509196323860926560295239258920921425885279536736778338927181553213017970911976829123952122375489934449602884032426270782016343318805213300761624
0.546875,-1.014436957080652727525553486938690398448694882323395428553187008540571627555505061762969032905381851667033145646803926183578042798440153279949354150975,-2.188075056168367271962343539752280686501571964125900629182934101710201973621497830122889703535562019551413761561979038041789088369105060255120879426101
0.5625,-1.024577298265466233513109935371723248915661901851711864992662448897703591672688687454735111589098795565588296562725615170292621959966194570517120372664,-2.207821363369540107560450212953073459601747920256091780531740637828301651790556745945744218262312569915039559109444161983827039513518647383782434855114
0.578125,-1.03475992632636973488154289466543009203384886774976368727902115822522611898322576027779606808152025654924594667739447869431235049459201931707380315003,-2.227640493038838258897422780214788732378302046172033846973710486126243361794926354033349530497683278286621769873825120237959516962311546815605186689842
0.59375,-1.044984800836607844771256383081546917486954005234242530090898113255514349991258396891362857735032506253502820392332910565648615684815113785790959735952,-2.247532503791161428396503379241337281026299958432543547974612357101169312232671849663910060747701461605025741062053373473414103140802774327585434968066
0.609375,-1.055251878705461502914706795546183739077583577219366164487177074688046178739314438840742050629736207342247277748034749413539305804885895082448822220017,-2.267497450576377921723380174980530220680647443652139333435479143749772847739041560492453478958610238272999643093479781030419968211960111222392714584347
0.625,-1.065561114168573015628081869680434418891987098616686608948986919006499731213676402179151635383628242140607742510798808732573982129197512015387813075047,-2.287535384638672093830314208095098253262992935741927512323124140153353111324114767785456541028314159143057929363583140958989421989370822313669265253653
0.640625,-1.075912458778819841196280401255306911122898818463782453499052565362708036036580543647643197135622988473043364291959605124451523704309251927048637844703,-2.307646353476193796396319029677741180625101018917553368278105574440153409791691452934748511325939506091019294878682421010729096901532143852079494843919
0.65625,-1.086305861397748128773318858817521275759482970304254287752594910272641750413746563458917329922239074257798340158099109155777237224395381084634348154283,-2.32783040080102946491810435522886952007587632611733005669926311882443478636752933437291049268072352595688980695085903339233772458094245930387461408774
