x,f,g
0.71875,0.73595182946731282060358148663234020928922752130654263200489244905807844944,0.48365305746349171908277224659117414106229298196275943687780627192184510347
0.75,0.72115046505636113934029757560565655181648524459213971628563035930837597488,0.46385905573953438165509958671490701224554825755458656275085392385301518565
0.78125,0.70694726383720941216930156851760731214702969640583405391577206887097263547,0.44534958208843110074809426068184647359337852760066501808017949223283115435
0.8125,0.69330397242605490243533745517586297144876627257608288121456800229445614253,0.42800638324931155031259675423164553835200348196991589723716630845339582253
0.84375,0.68018580321669445436238686307964488249920024527914990299755478718239698593,0.41172550819412846396170797135309801214889404087454390258069072897766335467
0.875,0.66756102208127785407244845081684370468716700163619019006407889351907443073,0.39641516231959435307509538765774295737667600558171330517144121355826445406
0.90625,0.65540059691538524572549138709778766224470425806332451291066989304376222607,0.38199394430153454891850339846758187572231184935899872547425152631933215681
0.9375,0.64367789635173290299368869927061515976659494951576377293576592524020241408,0.3683893870291200705777315364015539505776332845759711460702803198588936303
0.96875,0.63236843012479708965558856887272953431790014230886345190808834596052222892,0.35553674218501868425709104081754060324451224965673177799939799494053456625
1,0.62144962423581335763926572821533932389316467691970541694797553164193056162,0.3433779615564270328325330038583124340012440194999075192057671816387046423
1.03125,0.6109006253673252991433393158613970655017120706250308818329493824391355858,0.33186083833761987641173014131587880585976526197209709908902879529214645462
1.0625,0.60070213001829755335810849805063088484607765104016500066615315529344514931,0.32093827941842082359556303499465344200596549430515202769084470112173169446
1.09375,0.5908362346405317763472085820654384900377780393157449279023309342220585368,0.31056768558421299665189923765753644165830612986625568620939602432334736678
1.125,0.58128630370350433683864183831418846973196565813993481006900732453941359304,0.30071042114049669240708159408297980274559536873270860688175685005503542325
1.15625,0.57203685313430391322112321439870854839327677025594207664367736847641393598,0.29133135805123698887358881822564565772006731352647312818467843861603891629
1.1875,0.56307344699968279447832499131335407905842584329250637136574112346330074386,0.28239848248901200712476745829988419297491182240419752339841688275508292023
1.21875,0.55438260563937623093475474733225488391720312213141181388618120638710474852,0.27388255391645842621823834009581593092179063388649207499020069726061140052
1.25,0.54595172373994102245384914659241926609489594715619706630310314367290548718,0.26575680858713206342711309780760780187896415638097644818288182576214876965
1.28125,0.53776899706891602072934061568742326186858406731072918901106439736767456105,0.2579967007707705743066222480575215915314439783504173920147678722087884789
1.3125,0.52982335677985336392622707365357721584963674077533506237385104357653586637,0.25057967614972301810921166849407798573293694771794623150753502794805857513
1.34375,0.52210441035735126970436229668620489603895138870107868887492231552720030276,0.24348497275855229700170668738341635241326077191490271383246383853665598677
1.375,0.51460238840366973939306154033706355113380547967882161159631681412942010556,0.23669344559256307099954242042418209637946971197626799202911737135297866758
1.40625,0.50730809657962089430075278868475583911193678323572114596872517777108212585,0.23018741162813870443172638420454484815046048576532555482552675970644097118
1.4375,0.5002128721060229987948708112283403580152819046734072912879110038450977685,0.22395051250546714696705779905720352153696193590694061706348935278672546229
1.46875,0.49330854431116506014178610224410696725050089062093289459169066787979228329,0.21796759254380745417961416259379239181324301052597840307448342818556546657
1.5,0.48658739877692830909630732283163885869825304554556105924991042293820813545,0.21222459010769922878867376017666584302228133724358544510930448424099283966
1.53125,0.4800421446934645321988081751537575924366766802486476399511622208180301621,0.20670844063276895058763903511727854496265419382778449895585698959420039319
1.5625,0.47366588508127951230727025355379263257460485448732461535223222717984328611,0.20140698986265769775567271560064062048156369704696034385529157685898289494
1.59375,0.46745208958155565992275012442535884122122785677603301953882627721436469239,0.19630891605258863744419332644230845162116348554186916544608368000944513121
1.625,0.46139456955167541069574124742142243300689534421015818767746937322588557774,0.19140366006705427367889564552850173662663399468771153747530131293029439648
