x,Ci,Si
2.5,0.28587119636538349538910064792523607,1.7785201734438266421003119817362295
2.53125,0.27580467386379502756908923872315721,1.7857983304748366648838679764825114
2.5625,0.26564190688289893466617136338938029,1.7926730004830622725825653580536783
2.59375,0.25539503243185918076346157901759787,1.7991473335434882242761492741749341
2.625,0.24507595143960586913370054067296615,1.8052246723999559630307916887393022
2.65625,0.23469633039111163135129071421896787,1.8109085493717699840085659591439869
2.6875,0.22426760268644571743125393685347827,1.816202683143721817746210965243545
2.71875,0.21380096975111209182950902676401204,1.8211109754421562154307544742028852
2.75,0.20330740192406138456033229849827537,1.8256375075997832753206262741864628
2.78125,0.19279763914783241693167318059916875,1.829786537012017180691350854291468
2.8125,0.18228219148350873290585206704142375,1.8335624934876968723996633569732996
2.84375,0.17177133947155268678420950579015511,1.8369699754971162978388874707790423
