x,g
-125.84375,-126.83598681824033638632308274232076
-125.828125,-126.82036087623392678959171653516829
-125.8125,-126.80473493399882525634143592466402
-125.796875,-126.78910899153494847782641244770828
-125.78125,-126.77348304884221310482280441558028
-125.765625,-126.75785710592053574760416419506284
-125.75,-126.74223116276983297591682755369226
-125.734375,-126.72660521939002131895528505386715
-125.71875,-126.71097927578101726533753548053493
-125.703125,-126.69535333194273726308042128716029
-125.6875,-126.67972738787509771957494604466459
-125.671875,-126.66410144357801500156157387801065
-125.65625,-126.64847549905140543510551087509205
-125.640625,-126.63284955429518530557196845257157
-125.625,-126.61722360930927085760140866329806
-125.609375,-126.6015976640935782950847714299163
-125.59375,-126.58597171864802378113868368926932
-125.578125,-126.5703457729725234380806504321777
-125.5625,-126.55471982706699334740422762316528
-125.546875,-126.53909388093134954975417698468582
-125.53125,-126.52346793456550804490160263038984
-125.515625,-126.50784198796938479171906953195612
-125.5,-126.49221604114289570815570380399702
-125.484375,-126.47659009408595667121227479153174
-125.46875,-126.46096414679848351691625894450662
-125.453125,-126.4453381992803920402968854638262
-125.4375,-126.42971225153159799536016370334403
-125.421875,-126.4140863035520170950638923122465
-125.40625,-126.39846035534156501129265010224831
-125.390625,-126.38283440690015737483276862400262
-125.375,-126.36720845822770977534728643711393
-125.359375,-126.35158250932413776135088505812626
-125.34375,-126.3359565601893568401848065708444
-125.328125,-126.32033061082328247799175288333009
-125.3125,-126.30470466122583009969076661590033
-125.296875,-126.28907871139691508895209360443924
-125.28125,-126.27345276133645278817202700331999
-125.265625,-126.25782681104435849844773297221755
-125.25,-126.24220086052054747955205793107797
-125.234375,-126.22657490976493494990831736749456
-125.21875,-126.21094895877743608656506618072556
-125.203125,-126.195323007557966025170850546573
-125.1875,-126.17969705610643985994894128732675
-125.171875,-126.16407110442277264367204873096223
-125.15625,-126.14844515250687938763701904376505
-125.140625,-126.13281920035867506163951202054027
-125.125,-126.11719324797807459394866031654842
-125.109375,-126.10156729536499287128171010529494
-125.09375,-126.08594134251934473877864314628432
-125.078125,-126.07031538944104499997678024683443
-125.0625,-126.05468943613000841678536610203125
-125.046875,-126.03906348258614970946013549688838
-125.03125,-126.02343752880938355657786085476031
-125.015625,-126.00781157479962459501088111604273
-125,-125.99218562055678741990161193117758
-124.984375,-125.97655966608078658463703715196481
-124.96875,-125.96093371137153660082318160516734
-124.953125,-125.94530775642895193825956513237981
-124.9375,-125.92968180125294702491363788011617
-124.921875,-125.91405584584343624689519682405547
-124.90625,-125.89842989020033394843078351136931
-124.890625,-125.88280393432355443183806300503883
-124.875,-125.86717797821301195750018401405334
-124.859375,-125.85155202186862074384012019336679
-124.84375,-125.83592606529029496729499259747263
-124.828125,-125.82030010847794876229037327144169
-124.8125,-125.80467415143149622121456996325197
-124.796875,-125.78904819415085139439289194122323
-124.78125,-125.77342223663592829006189690035362
-124.765625,-125.75779627888664087434361894133952
-124.75,-125.74217032090290307121977760604391
-124.734375,-125.72654436268462876250596795316268
-124.71875,-125.71091840423173178782583165782252
-124.703125,-125.69529244554412594458520911882756
-124.6875,-125.67966648662172498794627255725674
-124.671875,-125.66404052746444263080164009009711
-124.65625,-125.64841456807219254374847076258282
-124.640625,-125.63278860844488835506254052289325
-124.625,-125.61716264858244365067229912284777
-124.609375,-125.60153668848477197413290792821855
-124.59375,-125.58591072815178682660025862226678
-124.578125,-125.57028476758340166680497278609158
-124.5625,-125.55465880677952991102638233936458
-124.546875,-125.5390328457400849330664908250074
-124.53125,-125.52340688446498006422391552135268
-124.515625,-125.50778092295412859326781036531348
-124.5,-125.49215496120744376641176967006942
-124.484375,-125.47652899922483878728771262076203
-124.46875,-125.46090303700622681691974853167519
-124.453125,-125.44527707455152097369802284836062
-124.4375,-125.42965111186063433335254387815196
-124.421875,-125.4140251489334799289269902324947
-124.40625,-125.39839918576997075075249896450313
-124.390625,-125.38277322237001974642143438513868
-124.375,-125.36714725873353982076113754138843
-124.359375,-125.3515212948604438358076563398055
-124.34375,-125.33589533075064461077945629875703
-124.328125,-125.32026936640405492205111191270919
-124.3125,-125.30464340182058750312697861186187
-124.296875,-125.28901743700015504461484530042962
-124.28125,-125.27339147194267019419956745684887
-124.265625,-125.25776550664804555661668077917485
-124.25,-125.24213954111619369362599535891547
-124.234375,-125.22651357534702712398517036653261
-124.21875,-125.21088760934045832342326923182497
-124.203125,-125.19526164309639972461429530238997
-124.1875,-125.17963567661476371715070796334577
