x=-1, n=4
4,-4.0400406250738821965933323384033620545186411360375495361277410823e-1,8.6219027894786323121399048904368592515506287341890848265370434851e-1
5,5.8896096770796171574486661078067568858394679736955607024291833057e-2,-1.4870879198681178373646648256091353309683996879161508832263541293e-1
6,-3.4441426365512878117268952536375488292944429105476293608355322036e-3,1.1107574661357477469303044732892060205140667294009604175199073881e-2
7,4.6224482047545562108972260294999249723633565125689017781468193789e-5,-2.2944139175856021711416517456678540584848044478302410558861955462e-4
|dx| = 0.015625 relative error = 1.5172008868e-37

x=-0.984375, n=4
i,p_i,q_i
0,-6.7900093041872484184567512723160118292971427818788547428407198371e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.0977403365358227161339621288931099979086039453972975378924401318e0,-1.8185988900711101063209371074793039525494568215511345466507254252e0
2,-5.5731225951711334495342059161144849333364538953942140546561069742e-1,1.0897705615125211161260761711087350692654097688217591538281111111e0
3,9.4095510883501981037914944022551883507740197019841490355555140975e-2,-2.3756400791749343663017017743181571575064554081898028250635808691e-1
4,-3.2872530338904603238714343295601448735267007880468050798610567187e-3,1.3451115304818170638783311974586921923376739907231771877008158868e-2
|dx| = 0.015625 relative error = 7.7700528949e-23

x=-0.984375, n=5
i,p_i,q_i
0,-6.7900093041872484184567512723160118292971427818788547428407198371e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.4091666720583258428759308279440876634868327764468030092006234556e0,-2.2772526585283247379456664036906228182817012387863342644615294187e0
2,-1.0251258692428460675925171231925536478384414033661890398976609768e0,1.8713460085136892647823961354976738879799698044176394662840635130e0
3,3.0820733179620871537363562948277795346587463308407907410579065537e-1,-6.6566374913411470182686042019430776920556536151563344291107924012e-1
4,-3.4143385409860714425857577241008338580529738437749151961026041744e-2,9.4970367111450564686509290511981326047701734877008134821782446931e-2
5,8.2381104295438534759237193228700449637803471685705503207195403489e-4,-3.6429244768478257505078277490850700609238380934745000331974634491e-3
|dx| = 0.015625 relative error = 1.0290288360e-27

x=-0.984375, n=6
i,p_i,q_i
0,-6.7900093041872484184567512723160118292971427818788547428407198371e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.7234353933811918727005739245584296056655883508659943986473895651e0,-2.7400925564487347538318758562989975536455238899377198851751204377e0
2,-1.6410410810138919884591165763341602379978852912884033318152354542e0,2.8718835686442334770695923863341312489581631025861517700518792836e0
3,7.2398488858012868597287334891012070198389233599718098150701541340e-1,-1.4345644494459866800863475586154104193665076771733152509108077239e0
4,-1.4699687405304331460784734516142456866840205037679898705287834334e-1,3.4480062353764276428479119389086988468094915778983374542989301155e-1
5,1.1595837671374724195976580230490944755144758304952368081823105361e-2,-3.4897443137974815420131453368814032966454941753556291984667497182e-2
6,-2.0553691411317039188862572274909602669034042400089147821486387057e-4,9.6691577729186405448641497592550935943359692036966418689508518032e-4
|dx| = 0.015625 relative error = 1.3825193886e-32

x=-0.984375, n=7
i,p_i,q_i
0,-6.7900093041872484184567512723160118292971427818788547428407198371e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.0399736510171067945114385299250803470071183580757477593961119396e0,-3.2062749185858717176262386734356128661379046333826716212739963054e0
2,-2.4076519085339310958940694182807385714357122681286228593025149946e0,4.0950332451993280547057830827637634870263945501653263007727774548e0
3,1.4125857572081957577891948125307629801495055334301841905691297777e0,-2.6498833441679159625509396195457028073500667098309681250559088904e0
4,-4.2891006079648474146723088859917317473758564799068478355167303077e-1,9.1208028988080886802051275549858004543441204931255009002240604879e-1
5,6.3408135072616670929120591671170549238279278616482490098600285577e-2,-1.5953637439958280363126382655945544630470057950091621996818475990e-1
6,-3.7596087770743754789093729435551632884199521424479585562472520311e-3,1.2084946667574326466571693810628828130515303115649876052742000405e-2
7,5.1139821301418612395155484339665819095139976202007827590311826683e-5,-2.5319183373210289566552852713852710206124621625583912593642600876e-4
|dx| = 0.015625 relative error = 1.8796328906e-37

x=-0.96875, n=4
i,p_i,q_i
0,-6.8115938875631131022424715983807461445475775469411543507689178147e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.1168306163682294005232567846020487005246675070811785943069054442e0,-1.8439634432114352495108268141369799097454110794576353434501399155e0
2,-5.7497215692559715089496824751323008240411829666605921282105027782e-1,1.1203240809211512586070494966643636351530316648901853082115619095e0
3,9.8420433737116676288376997741045216631562249303739880091792877325e-2,-2.4760944278547135653412856956651471586485010097308458597877150333e-1
4,-3.4838573578016400904847155648897064302272813437770915619690944485e-3,1.4214798496085237522834761003776481267596577519992451854944626004e-2
|dx| = 0.015625 relative error = 8.8232865077e-23

x=-0.96875, n=5
i,p_i,q_i
0,-6.8115938875631131022424715983807461445475775469411543507689178147e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.4339005759276489706488408201886176080847299332636777567268357773e0,-2.3094491500712333343605218050395741344882587769046998845141016554e0
2,-1.0579907752328497372802934372287993596745484996574449686220967401e0,1.9245636653930688483473198169998746433284070895295566515483392856e0
3,3.2258837730250166988067723544943393672441378016164607975870748963e-1,-6.9422593584491067547039344179186576842388204153265083802937216739e-1
4,-3.6234846044884770278321369229485150860657726675360155928090905515e-2,1.0043799589199005157553431216644538948832656259417314569907895974e-1
5,8.8600060769833683646880327768166899856937590344469025613336027675e-4,-3.9071307273491743218881003161993858587036512253906845739549853009e-3
|dx| = 0.015625 relative error = 1.2039702706e-27

x=-0.96875, n=6
