x,y,m,f1
-1019.875,-1.1612964975781130742132307866643208307325324677036590248174711169300231811e-446,18,1020.8740223597060446399541370827217747749590792950693541494358617181196604
-1019.75,-1.3160824764698234587605912267167599734656339717376191532733163002820816534e-446,18,1020.7490222402184195081091082552174728973603649524228350986356758549223639
-1019.625,-1.4914994701679129805062554842706869947066705243768970706592547770030578511e-446,18,1020.6240221207015830351645581195028552916465851809175185340659410328330486
-1019.5,-1.690297335199451693020312327722753027858176876164875711832693952957584318e-446,18,1020.4990220011555245077515759476956282054965070955209452676667827413509933
-1019.375,-1.9155924500111811246117609577297816193413776190792100647487976847276825068e-446,18,1020.374021881580233207261699641394606834789021416131714938325413069727966
-1019.25,-2.1709165678688676938151954049574366311036344228077325101981930186283037154e-446,18,1020.249021761975698409843712215626760664465667204855890708971498779921039
-1019.125,-2.4602721812591234939912061572084042176366412067321701318997476509761648165e-446,18,1020.1240216423419093864004359321024034160628891828775824748462174678564234
-1019,-2.7881952656994153374593407549157806520834250777929984744780463568974620612e-446,18,1019.9990215226788554025855240797658878595523315443819425857945352240369417
-1018.875,-3.1598263865436049780906035765617635240706921264481400320568104033812568342e-446,18,1019.8740214029865257188002504006271961242017569505781661646654004887577676
-1018.75,-3.5809912834710016899296736974110857383750119415333241359322450423181713401e-446,18,1019.7490212832649095901902961588578443515038048229828728795086837486052524
-1018.625,-4.0582921959217408595055467089667956322275323161839725934377469737356595828e-446,18,1019.6240211635139962666425348511325465701611169196851222205997488544762993
-1018.5,-4.5992113611194388961547353828530425228447519930440134089878529767979258652e-446,18,1019.4990210437337749927818145561961065360071360927110096497415470143134079
-1018.375,-5.2122283071430695447899419531887307756417978791670874811869473365201288225e-446,18,1019.3740209239242350079677379216330279659213243273612486337093549554282578
-1018.25,-5.9069527797652363115979353906962774851574061735921406007020411543968484954e-446,18,1019.2490208040853655462914397858153531016012642564913332359562205916735783
-1018.125,-6.6942753868535736954477563714945665088093996239486560556300803811318543204e-446,18,1019.124020684217155836572362433002256863814132024542970102979459383295944
-1018,-7.5865383218778510782420977739951167960051101157004678772186464212723540079e-446,18,1018.9990205643195951023550284795629389977947931761240438229032813485605027
-1017.875,-8.5977288428315216937294762821380426367463156966491007611034340026398654115e-446,18,1018.8740204443926725619058113892923695631121132386762825762661646406200834
-1017.75,-9.7436985395973445389639905344098307321658960089658508205894004806587165734e-446,18,1018.7490203244363774282097036157874538839102231948532832633011010837939095
-1017.625,-1.1042411827054397728729982960667891993782612765663209974829830060450446815e-445,18,1018.6240202044506989089670823698491916452650603975963218920094691209942245
-1017.5,-1.2514227559375748759404927732802412384324382915703580354139439891479060007e-445,18,1018.4990200844356262065904730098744111957925266277649576383125977371542582
-1017.375,-1.4182218180184413047033804171647297036668188981911690636818969182214871252e-445,18,1018.374019964391148518201310053198664292913456233544626997958708196758516
-1017.25,-1.6072531411659481730234335876142783935191049711463217818185461946951353353e-445,18,1018.2490198443172550356266958063498685026290329484921104691495032475818066
-1017.125,-1.8214800152538797920616279951512607642198784957978782655748650353857354172e-445,18,1018.1240197242139349453961566121702842375914680790987345617617231113615847
